transaction_id,customer_id,transaction_date,transaction_time,amount,transaction_type,payment_method,branch,status,fraud_flag
1001,C001,2025-01-03,09:15:00,5000,Deposit,UPI,Kathmandu,Success,No
1002,C002,2025-01-03,10:45:00,2000,Withdrawal,Card,Delhi,Success,No
1003,C003,2025-01-04,11:20:00,10000,Deposit,NetBanking,Mumbai,Failed,No
1004,C004,2025-01-05,14:10:00,1500,Transfer,UPI,Pune,Success,No
1005,C005,2025-01-05,16:25:00,7000,Deposit,Cash,Bangalore,Success,No
1006,C006,2025-01-06,09:55:00,3000,Withdrawal,Card,Chennai,Pending,No
1007,C007,2025-01-06,12:30:00,2500,Transfer,UPI,Kolkata,Success,No
1008,C008,2025-01-07,13:45:00,-1000,Deposit,NetBanking,Hyderabad,Success,Yes
1009,C009,2025-01-08,15:00:00,4000,Transfer,Card,Patna,Success,No
1010,C010,2025-01-08,17:20:00,6000,Withdrawal,Cash,Lucknow,Failed,No
1011,C011,2025-01-10,08:40:00,3500,Deposit,UPI,Jaipur,Success,No
1012,C012,2025-01-11,10:10:00,4500,Transfer,Card,Delhi,Success,No
1013,C013,2025-01-12,11:50:00,8000,Deposit,NetBanking,Mumbai,Success,No
1014,C014,2025-01-12,13:15:00,2200,Withdrawal,Cash,Pune,Pending,No
1015,C015,2025-01-13,14:40:00,9000,Deposit,UPI,Bangalore,Success,Yes
1016,C016,2025-01-14,09:05:00,1200,Transfer,Card,Kathmandu,Success,No
1017,C017,2025-01-15,16:30:00,500,Withdrawal,Cash,Chennai,Failed,No
1018,C018,2025-01-16,18:10:00,6700,Deposit,NetBanking,Patna,Success,No
1019,C019,2025-01-17,19:20:00,2800,Transfer,UPI,Jaipur,Success,No
1020,C020,2025-01-18,20:00:00,7600,Deposit,Card,Hyderabad,Success,No
TXN1021,C021,2025-02-13,8600,Debit,UPI,Groceries,Kathmandu,Success,No
TXN1022,C022,2025-02-13,14000,Credit,Mobile Banking,Salary,Delhi,Success,No
TXN1023,C023,2025-02-14,1200,Debit,ATM,Cash Withdrawal,Mumbai,Success,No
